n_el,n_up,sampling_time,energy_time,kfac_time
10,10,0.026249126005172728,0.10048417110443114,0.028402587413787844
11,11,0.030184554982185363,0.12705135853290558,0.02789807438850403
12,12,0.03821934847831726,0.17093874354362487,0.03197463679313661
13,13,0.044177783608436584,0.2113931385278702,0.0327009460926056
14,14,0.05226613073348999,0.26757905120849607,0.03609386730194092
15,15,0.057578725147247316,0.31692436118125916,0.0380754907131195
16,16,0.05803436145782471,0.3659122842788696,0.03945448708534244
17,17,0.0761177191734314,0.4752457792758941,0.043397031545639175
18,18,0.08355509667396545,0.5564464993000031,0.04597171688079826
19,19,0.09311653656959534,0.6579724727153777,0.03592728734016415
20,20,0.10147440066337586,0.7572775536537171,0.03656641912460323
21,21,0.12357878017425537,0.9448490166664123,0.05657866573333736
22,22,0.13357091298103332,1.0820748535156248,0.06185351943969741
23,23,0.14786157474517822,1.2442547582626344,0.06367373013496391
24,24,0.15618624510765075,1.3877237931251525,0.06614226651191712
25,25,0.17534571373462676,1.6103767763376236,0.07141991066932674
26,26,0.188577073597908,1.8166158780813217,0.0769535689353944
27,27,0.2081376404285431,2.064520145702362,0.0834182496070861
28,28,0.2504852007865906,2.658085165119171,0.09137715625762954
