n_el,n_up,sampling_time,energy_time,kfac_time
20,10,0.08090395505428315,0.5535236777544021,0.08110054707527159
22,11,0.10064551873207092,0.7860936663627625,0.08891946458816524
24,12,0.11965321314334869,0.9435018674135208,0.0967343778610229
26,13,0.14667777609825133,1.2797831773757935,0.10316078925132732
28,14,0.18490850937366485,1.598633389353752,0.11295207118988038
30,15,0.21233248782157899,2.012769894361496,0.11646865677833551
32,16,0.19126875894069673,3.3899574690580367,0.15098654961586
34,17,0.28259232692718506,5.415187195730209,0.16702044844627384
36,18,0.3262427429199219,6.465873020029068,0.1834712722301477
