n_el,n_up,sampling_time,energy_time,kfac_time
2,2,0.009169454431533813,0.009791494035720827,0.007651179552078245
3,3,0.01157707540988922,0.018116645169258115,0.010083178997039803
4,4,0.014895604348182679,0.031530944848060606,0.01131133317947388
5,5,0.019164164853096008,0.05074421637058259,0.011452770709991456
6,6,0.03191457359790802,0.08838789899349211,0.012581495761871342
7,7,0.03904153697490692,0.1248895123720169,0.013155781507492081
8,8,0.049143442034721374,0.1728617173433304,0.012272023439407337
9,9,0.06355243346691132,0.24525607945919037,0.013912071228027345
10,10,0.07973207173347473,0.3271886543273926,0.014230206251144406
11,11,0.09330170595645905,0.42575281536579135,0.016398157596588137
12,12,0.12635101099014281,0.6085125329971314,0.01742314243316656
13,13,0.14930922002792357,0.7655459909915924,0.019136437416076735
14,14,0.1820711158514023,0.9618955942392349,0.0219281120300292
15,15,0.2060325436592102,1.1596940038204195,-0.004929563999176434
16,16,0.2097189927339554,1.3470912747144699,-0.012641110420226864
