n_el,n_up,sampling_time,energy_time,kfac_time
2,1,0.007930786681175231,0.0072812859296798715,0.012246824264526364
4,2,0.017193166708946227,0.03991141774654389,0.014061545610427856
6,3,0.04290632238388062,0.11497255239486695,0.014718145370483382
8,4,0.06591827456951141,0.22221860129833224,0.016459356307983397
10,5,0.10991048419475555,0.4205224796533584,0.02139928841590888
12,6,0.16972387931346894,0.7480975766420364,0.022817790508270264
14,7,0.24054607191085817,1.193556253528595,0.03126107478141793
16,8,0.2567198039531708,1.5672565561294556,0.03406562399864188
18,9,0.41030535469055174,2.5686543070316317,0.03793804669380174
20,10,0.5289686230182647,3.5919469334125522,0.04583791184425312
22,11,0.6787457458972931,5.167381625175476,-0.13180050706863433
