n_el,n_up,sampling_time,kfac_time
2,2,0.01157280466556549,0.019564278149604798
3,3,0.011377516007423401,0.019757155442237856
4,4,0.011577114129066467,0.020506718134880066
5,5,0.011975060725212098,0.020920104002952574
6,6,0.014567846322059631,0.021929281449317932
7,7,0.016103961515426635,0.022722249460220337
8,8,0.01807256224155426,0.023894650673866275
9,9,0.021429692935943604,0.02569209747314453
10,10,0.026005448365211487,0.027398214793205262
11,11,0.029739012932777406,0.028984402203559877
12,12,0.038397511792182926,0.036023060727119444
13,13,0.04395842490196228,0.03564105310440063
14,14,0.05221562819480896,0.035681469392776485
15,15,0.05739599714279175,0.03670146908760071
16,16,0.05805789928436279,0.03870431060791016
17,17,0.07642848978042603,0.04227383484840393
18,18,0.08423120069503784,0.04426393795013428
19,19,0.09387024402618409,0.045833943605422964
20,20,0.10286890377998352,0.048343368387222294
21,21,0.125172181725502,0.05419813168048859
22,22,0.1361861557006836,0.05712050304412841
23,23,0.15023728196620942,0.06098532969951628
24,24,0.1594923407316208,0.06432282860279082
25,25,0.1794790730237961,0.06901575949192046
26,26,0.1941089457988739,0.07224358444213869
27,27,0.21390660994052887,0.0768610904932022
28,28,0.2575585009098053,0.08290496835708616
29,29,0.2780293119192123,0.08819287607669835
30,30,0.29748229002952575,0.09407743334770202
31,31,0.32527017741203307,0.0997245583057404
32,32,0.3037425058364868,0.12006919116973874
33,33,0.37815112619400026,0.13853152556419368
34,34,0.40386842420101166,0.1488224360704422
35,35,0.43155541989803314,0.15388395025730128
36,36,0.45961589016914367,0.16418313560485837
37,37,0.48848369534015657,0.17220008604526515
38,38,0.5295586043596268,0.1676774290800095
39,39,0.573706144952774,0.17548251328468323
