n_el,n_up,sampling_time,kfac_time
2,1,0.01953335382938385,0.04593185136318207
4,2,0.022587476181983947,0.04734962065219879
6,3,0.023084248566627504,0.04796069118976593
8,4,0.02385600724220276,0.05151248154640198
10,5,0.029564874529838563,0.056636189103126525
12,6,0.03615907390117645,0.06193216888904572
14,7,0.04454333643913269,0.06789627118110657
16,8,0.04665597696304321,0.07257276206016541
18,9,0.06534083504676819,0.0779101131439209
20,10,0.08047086000442505,0.08466177988052367
22,11,0.1004242175579071,0.09250918068885804
24,12,0.1198422337293625,0.10030596225261688
26,13,0.14589609265327452,0.10640444326400761
28,14,0.18470709176063538,0.11782158713340757
30,15,0.21244501571655272,0.1260877992630005
32,16,0.19309050724506377,0.14420829560756687
34,17,0.2854552747011185,0.1638907631635666
36,18,0.3298220170497894,0.1786745749950409
38,19,0.3937498086452484,0.19539764728546144
