n_el,n_up,sampling_time,kfac_time
2,2,0.008846685576438904,0.008659728837013245
3,3,0.011413555574417113,0.00859299521446228
4,4,0.014791636061668396,0.008974408555030823
5,5,0.019154686856269837,0.009053823304176329
6,6,0.03156334295272827,0.010173602914810183
7,7,0.03894155855178833,0.010410476970672607
8,8,0.048674409532546994,0.011724835968017579
9,9,0.06355346586704254,0.012964487290382382
10,10,0.07908010830879211,0.01387600693702698
11,11,0.09241958594322204,0.014319900751113904
12,12,0.12541900866031647,0.016487591576576227
13,13,0.14777136058807372,0.017461518573760992
14,14,0.1808411073923111,0.01994307610988616
15,15,0.2039921622514725,0.01739266703128814
16,16,0.20818006567955016,0.01665805501937867
17,17,0.280559193944931,0.025967138671875
18,18,0.310968195605278,0.021431406092643768
19,19,0.34896130480766296,0.02443404016494749
20,20,0.38352131605148315,0.024650998115539557
21,21,0.4689553601741791,0.030954154968261705
22,22,0.5126701499462127,0.030929208612442083
23,23,0.5667687461614609,0.032037649607658425
24,24,0.6045806523799896,0.0323229466438294
25,25,0.6819276693344116,0.03332721800804139
26,26,0.734911750459671,0.036497895812988235
27,27,0.8076370351552963,0.03953298470973976
28,28,0.9827943718433381,0.04871158671379083
29,29,1.0575248610973358,0.05089804100990292
30,30,1.1397012015104293,0.04759568111896528
31,31,1.243493833708763,0.05331649763584134
32,32,1.1701099375247956,0.12079790558814985
