n_el,n_up,sampling_time,kfac_time
2,1,0.008610659122467041,0.014906518936157227
4,2,0.01777625560760498,0.01494478440284729
6,3,0.04323773157596588,0.016881541848182677
8,4,0.06647495150566102,0.01946196365356445
10,5,0.11078448379039764,0.021263947606086728
12,6,0.17031549484729766,0.02552292530536651
14,7,0.23974464406967164,0.031630207872390764
16,8,0.25498378129005433,0.0322818139076233
18,9,0.40773440670967104,0.04325960493087766
20,10,0.5221438919782638,0.0518173762083054
22,11,0.6765504612207413,0.047435949397087174
24,12,0.8183528468608856,0.055264517545700054
26,13,1.021578508400917,0.08448431298732761
28,14,1.3160473693609238,0.10347484600543977
30,15,1.5473248256206513,0.09165201630592335
32,16,1.4535494046926498,0.15745138828754435
34,17,2.4489722818613053,0.3296286977052687
