,0,1,2,3,4,5,6,7,8,9
config,"[[0.4441088140010834, 0.30868858098983765, 0.5762906074523926], [0.39413344860076904, 0.6625426411628723, 0.5176703929901123], [0.44929584860801697, 0.2914876341819763, 0.3386448621749878], [0.5317327380180359, 0.4768100678920746, 0.43037253618240356], [0.9902598261833191, 0.45429226756095886, 0.06503447890281677], [0.368071585893631, 0.5386222004890442, 0.08084508031606674], [0.5171197056770325, 0.701682984828949, 0.9829550981521606]]","[[0.9219635128974915, 0.7056671380996704, 0.5651155114173889], [0.8179488182067871, 0.6482775211334229, 0.5959632992744446], [0.6533526182174683, 0.40701529383659363, 0.06305801868438721], [0.386870414018631, 0.4863415062427521, 0.804019033908844], [0.7839122414588928, 0.01884051039814949, 0.2935010492801666], [0.06629820913076401, 0.7218915224075317, 0.8767951130867004], [0.8163501024246216, 0.6665763258934021, 0.814007043838501]]","[[0.8452808856964111, 0.5801934003829956, 0.5188947916030884], [0.9609074592590332, 0.6852870583534241, 0.9229111671447754], [0.40682271122932434, 0.4844491183757782, 0.8531367778778076], [0.03468596935272217, 0.6861445307731628, 0.786139726638794], [0.9938005208969116, 0.7652485966682434, 0.3830868899822235], [0.07854557782411575, 0.25026389956474304, 0.12332354485988617], [0.5197858214378357, 0.761262059211731, 0.017968013882637024]]","[[0.269979864358902, 0.4537125527858734, 0.21428541839122772], [0.6979869604110718, 0.09989293664693832, 0.7918882369995117], [0.7917147278785706, 0.027458740398287773, 0.6083546876907349], [0.5225367546081543, 0.1312483549118042, 0.08160603046417236], [0.9189749360084534, 0.1710510551929474, 0.062007397413253784], [0.9976401329040527, 0.8531440496444702, 0.16164898872375488], [0.679730236530304, 0.025036178529262543, 0.8376224637031555]]","[[0.1279863715171814, 0.28532078862190247, 0.28843653202056885], [0.6460151076316833, 0.654615581035614, 0.3859120011329651], [0.30980902910232544, 0.9576734900474548, 0.0893358513712883], [0.5609074234962463, 0.6572313904762268, 0.4803973436355591], [0.7677196860313416, 0.6767821311950684, 0.01765068620443344], [0.16182014346122742, 0.5519209504127502, 0.01676805689930916], [0.7361022233963013, 0.5275154113769531, 0.4365540146827698]]","[[0.9597064852714539, 0.5176857709884644, 0.6056201457977295], [0.43054112792015076, 0.9202845096588135, 0.8195950388908386], [0.46848249435424805, 0.2383117526769638, 0.9199650883674622], [0.1482875496149063, 0.06195491924881935, 0.4662749469280243], [0.5813428163528442, 0.25103050470352173, 0.9608004689216614], [0.9409539699554443, 0.621415913105011, 0.6607192158699036], [0.205913707613945, 0.37032532691955566, 0.830880880355835]]","[[0.2963902950286865, 0.8559561371803284, 0.3676666021347046], [0.11666029691696167, 0.6853910088539124, 0.8798661828041077], [0.38262349367141724, 0.32621750235557556, 0.16576014459133148], [0.44929173588752747, 0.36153605580329895, 0.8762996792793274], [0.8286153674125671, 0.790348470211029, 0.9198254346847534], [0.5342591404914856, 0.09135669469833374, 0.6774114370346069], [0.6730291247367859, 0.17320649325847626, 0.33261555433273315]]","[[0.20383860170841217, 0.8139257431030273, 0.5717195868492126], [0.36190107464790344, 0.7153460383415222, 0.5436014533042908], [0.7531737685203552, 0.6784287691116333, 0.7854852080345154], [0.33744245767593384, 0.764739990234375, 0.15470987558364868], [0.7603604197502136, 0.508048415184021, 0.5474109053611755], [0.17006856203079224, 0.167026087641716, 0.6495465636253357], [0.8965309858322144, 0.5696563124656677, 0.46278926730155945]]","[[0.5623194575309753, 0.4463243782520294, 0.00394113315269351], [0.3390238583087921, 0.8256599307060242, 0.6240673065185547], [0.8228373527526855, 0.10962004959583282, 0.07471749186515808], [0.6484129428863525, 0.32741671800613403, 0.5978947281837463], [0.14218150079250336, 0.9199579954147339, 0.32685697078704834], [0.17852160334587097, 0.4696582853794098, 0.6603525876998901], [0.789939820766449, 0.07950402796268463, 0.7157036066055298]]","[[0.32964417338371277, 0.7344209551811218, 0.9628666043281555], [0.6275346875190735, 0.1890994906425476, 0.7321572303771973], [0.5022048950195312, 0.9594516158103943, 0.857533872127533], [0.2093004435300827, 0.7560867667198181, 0.9001771807670593], [0.9670378565788269, 0.8975310325622559, 0.1781313568353653], [0.6777409315109253, 0.7644916772842407, 0.6883561015129089], [0.182933047413826, 0.34555888175964355, 0.41344010829925537]]"
energy,25.667858123779297,21.281200408935547,9.669279098510742,23.078426361083984,28.592315673828125,25.41063690185547,12.065563201904297,23.579071044921875,12.247581481933594,19.081295013427734
