n_el,n_up,sampling_time,energy_time,kfac_time
2,2,0.017089284873008728,0.013908316636085511,0.03311598110198975
3,3,0.0171844908952713,0.0181092787027359,0.03274815273284912
4,4,0.017329476881027223,0.02654483742713928,0.038016570091247565
5,5,0.019149364614486693,0.027996539688110354,0.03516779589653014
6,6,0.018495234274864197,0.03482046029567719,0.035335468530654904
7,7,0.018888282895088197,0.04107588756084442,0.03882441806793212
8,8,0.019750717282295226,0.04809360802173614,0.03756314945220948
9,9,0.020855722332000733,0.059371176338195795,0.03912984156608582
