density_parameter,equilibrated_energy_mean,equilibrated_energy_sem,energy (Ry),std_of_stds,variance,n_it_best_model,E
0.5,5.809712886810303,2.4837395233677488e-05,11.619425773620604,0.0338871888816356,0.0011483415702996,25000,11.619(1)
1.0,1.1203489303588867,3.644626151983853e-06,2.240697860717773,0.0007334349211305,5.379267835337585e-07,115000,2.2406978(5)
2.0,0.110837921500206,1.5818361807533011e-06,0.221675843000412,0.000512845988851,2.630110082806017e-07,155000,0.2216758(2)
5.0,-0.0664253979921341,7.833701197306897e-07,-0.1328507959842682,0.0003451425873208,1.1912340558255067e-07,185000,-0.1328507(1)
10.0,-0.0531418472528457,4.306220216997706e-07,-0.1062836945056915,0.0001560817036079,2.4361498201151924e-08,185000,-0.10628369(2)
20.0,-0.0322646349668502,2.3036674461641813e-07,-0.0645292699337005,7.410495891235769e-05,5.491544935402221e-09,195000,-0.064529269(5)
50.0,-0.0146539537236094,8.731576079502056e-08,-0.0293079074472188,1.8266626284457743e-05,3.336696358160425e-10,195000,-0.0293079074(3)
100.0,-0.0077384570613503,6.224053747345298e-08,-0.0154769141227006,3.076663051615469e-05,9.465855533175811e-10,195000,-0.0154769141(9)
