n_el,n_up,sampling_time,energy_time,kfac_time
19,19,0.0049011645555496215,0.056022811388969425,0.12918268322944643
27,27,0.005753898406028747,0.09410720322132111,0.19129497981071475
28,14,0.0076597683906555174,0.14476304359436035,0.2803964300155639
33,33,0.006911816024780274,0.19420754919052124,0.1801395914554596
