n_el,n_up,sampling_time,energy_time,kfac_time
2,1,0.008698410582542419,0.0076992332220077505,0.012256718397140503
4,2,0.017791169595718383,0.03896108870506286,0.013835343837738046
6,3,0.04246925950050354,0.11511417603492738,0.015308021545410139
8,4,0.06619574613571166,0.2218877161026001,0.019493412017822287
10,5,0.11035006425380707,0.4230600509881974,0.02047329592704772
12,6,0.16903332936763762,0.7448985451459885,0.025281998157501206
14,7,0.24055520482063295,1.189381199645996,0.0295345170497896
16,8,0.2558549791812897,1.5557625101566315,0.05252660202980053
18,9,0.41190217254161837,2.556792824292183,0.08018342566490144
20,10,0.529327389717102,3.57859885764122,0.04601471972465543
22,11,0.6732737540245056,5.061764107561111,-0.06201408219337523
