n_el,n_up,sampling_time,energy_time,kfac_time
2,2,0.00918698525428772,0.009628442764282227,0.00880555605888367
3,3,0.011728685450553894,0.018043041396141053,0.0104977433681488
4,4,0.014708715200424194,0.031075047016143796,0.01035650229454041
5,5,0.019157196927070616,0.049538515639305114,0.011687026977539067
6,6,0.03150624752044678,0.08750447988510132,0.011039495468139648
7,7,0.03863926498889923,0.12421223623752593,0.011764300107955913
8,8,0.048584431314468386,0.17214295134544372,0.012462843418121344
9,9,0.06350145080089568,0.24494162461757657,0.013888010501861614
10,10,0.07906630277633667,0.3258701753616333,0.01523103833198547
11,11,0.09246896586418152,0.42368348827362057,0.015197058200836167
12,12,0.12538222994804382,0.6054880827426911,0.018256576776504496
13,13,0.14825168852806092,0.7615601832389831,0.018889521360397343
14,14,0.18056940631866455,0.9533475462913513,0.0231261010169983
15,15,0.20354862670898438,1.15097414393425,-0.005230563640594488
16,16,0.2077318572998047,1.3370981454849242,-0.013902025699615184
17,17,0.2798488660335541,1.767976286125183,0.017886113166809103
18,18,0.3087349156856537,2.068825167942047,-0.016493876218795833
19,19,0.34670976586341856,2.4588244648456574,-0.02673084211349508
20,20,0.38081279072761537,2.8439228600502013,-0.04875477457046529
21,21,0.4659573470830917,3.5801886456727985,-0.037949641704559056
22,22,0.5097046454191207,4.110025692200661,-0.044497049570083824
