n_el,n_up,sampling_time,energy_time,kfac_time
2,1,0.01315048589706421,0.010475938177108764,0.027661307811737063
4,2,0.013984225630760194,0.02481061327457428,0.03107102799415588
6,3,0.01853725562095642,0.045678467893600465,0.03661443710327148
8,4,0.024816280221939088,0.07665565600395202,0.03369974899291993
10,5,0.03696249797344208,0.12954153225421905,0.03651357769966124
12,6,0.04983266031742096,0.21820191180706022,0.038897213697433486
14,7,0.06720061779022217,0.3411689119338989,0.042740290164947514
16,8,0.07086582767963409,0.4252341660261154,0.045134398698806755
18,9,0.10936083269119262,0.7054409105777741,0.04950305461883531
20,10,0.13882149753570558,0.952607982301712,0.05820029163360596
22,11,0.1766671998977661,1.3480074219226839,0.06625933432579045
24,12,0.21214565596580506,1.6911250075340272,0.037329843282699615
26,13,0.2640269368648529,2.3314445959568024,0.03806536126136795
28,14,0.3384534343242645,3.074851947927475,0.09632827448844905
30,15,0.3935752095937729,3.879026919865608,0.12051840543746994
32,16,0.3557990696191788,7.4422606671094895,0.14482906866073542
34,17,0.5378228609085083,11.870905051994324,0.19647387814521622
